time_s,power_MW,power_pct,P_electric_MW,T_fuel_C,T_in_C,T_out_C,T_cool_avg_C,P_prim_MPa,P_sec_MPa,D_steam_kg_s,D_turb_kg_s,W_prim_kg_s,level_pzr_m,level_sg_m,reactivity_total_pcm,reactivity_doppler_pcm,reactivity_coolant_pcm,reactivity_rods_pcm
0.00,3200.00,100.00,1185.72,600.00,298.20,328.57,313.39,16.191,7.001,1774.96,1773.43,17600.0,5.700,2.400,0.00,0.00,0.00,0.00
0.05,3201.89,100.06,1185.83,600.00,298.20,328.55,313.37,16.182,7.001,1774.99,1773.60,17600.0,5.696,2.400,0.47,-0.00,0.47,0.00
0.10,3203.75,100.12,1185.93,600.01,298.20,328.53,313.36,16.174,7.002,1775.04,1773.75,17600.0,5.693,2.400,0.88,-0.01,0.89,0.00
0.15,3205.47,100.17,1186.03,600.02,298.20,328.50,313.35,16.167,7.003,1775.09,1773.89,17600.0,5.690,2.400,1.25,-0.03,1.28,0.00
0.20,3207.03,100.22,1186.12,600.03,298.20,328.49,313.34,16.161,7.003,1775.14,1774.02,17600.0,5.688,2.400,1.58,-0.05,1.64,0.00
0.25,3208.44,100.26,1186.20,600.05,298.20,328.47,313.34,16.155,7.004,1775.20,1774.15,17600.0,5.685,2.400,1.86,-0.09,1.95,0.00
0.30,3209.70,100.30,1186.28,600.07,298.21,328.45,313.33,16.150,7.004,1775.24,1774.26,17600.0,5.683,2.400,2.11,-0.13,2.24,0.00
0.35,3210.83,100.34,1186.35,600.09,298.21,328.44,313.32,16.146,7.004,1775.28,1774.37,17600.0,5.681,2.400,2.32,-0.17,2.50,0.00
0.40,3211.83,100.37,1186.41,600.11,298.21,328.42,313.32,16.142,7.005,1775.31,1774.47,17600.0,5.680,2.400,2.50,-0.22,2.72,0.00
0.45,3212.69,100.40,1186.48,600.13,298.21,328.41,313.31,16.139,7.005,1775.34,1774.56,17600.0,5.678,2.400,2.64,-0.28,2.92,0.00
0.50,3213.44,100.42,1186.53,600.15,298.22,328.40,313.31,16.136,7.006,1775.36,1774.64,17600.0,5.677,2.400,2.76,-0.34,3.09,0.00
0.55,3214.07,100.44,1186.58,600.18,298.22,328.39,313.30,16.133,7.006,1775.37,1774.72,17600.0,5.676,2.400,2.85,-0.39,3.24,0.00
0.60,3214.59,100.46,1186.63,600.20,298.22,328.38,313.30,16.131,7.006,1775.38,1774.79,17600.0,5.675,2.400,2.91,-0.46,3.37,0.00
